Name,Country,Age,Height (cm),Weight (kg),Sex,Date of birth,Sport,Event,Medal winner?,Gold,Silver,Bronze
Patrick Wojcicki,Germany,20,179,,M,8/14/1991,Boxing,Men's Welter (69kg),,,,
Patrik Kittel,Sweden,36,186,75,M,06/10/1976,Equestrian,Individual Dressage; Team Dressage; SCANDIC,,,,
Patrik Rakos,Hungary,20,,,M,1/21/1992,Swimming,Men's 4x200m Freestyle Relay,,,,
Patrycja Wyciszkiewicz,Poland,18,170,53,F,01/08/1994,Athletics,Women's 4 x 400m Relay,,,,
Patryk Dobek,Poland,18,186,72,M,2/13/1994,Athletics,Men's 4 x 400m Relay,,,,
Pau Gasol,Spain,32,215,115,M,07/06/1980,Basketball,Men's Basketball,,,,
Pau Quemada,Spain,28,173,69,M,09/04/1983,Hockey,Men's Hockey,,,,
Paul Biedermann,Germany,25,195,95,M,08/07/1986,Swimming,Men's 200m Freestyle; Men's 400m Freestyle; Men's 4x200m Freestyle Relay,,,,
Paul Brian Rosario,Philippines,30,175,68,M,4/17/1982,Shooting,Men's Skeet,,,,
Paul Drinkhall,Great Britain,22,178,80,M,1/16/1990,Table Tennis,Men's Singles; Men's Team,,,,
Paul Edingue Ekane,Cameroon,21,173,75,M,9/23/1990,Swimming,Men's 50m Freestyle,,,,
Paul Elaisa,Fiji,18,180,89,M,1/21/1994,Swimming,Men's 100m Freestyle,,,,
Paul Estermann,Switzerland,49,180,77,M,6/24/1963,Equestrian,Individual Jumping; Team Jumping; CASTLEFIELD ECLIPSE,,,,
Paul Etia Ndoumbe,Cameroon,28,182,78,M,4/20/1984,Rowing,Men's Single Sculls,,,,
Paul Goodison,Great Britain,34,180,82,M,11/29/1977,Sailing,Men's Laser,,,,
Paul Hession,Ireland,29,184,75,M,1/27/1983,Athletics,Men's 200m,,,,
Paul Lotman,United States of America,26,201,92,M,11/03/1985,Volleyball,Men's Volleyball,,,,
Paul Snow-Hansen,New Zealand,21,174,64,M,09/03/1990,Sailing,Men's 470,,,,
Paul Williams,Grenada,26,,,M,04/05/1986,Athletics,Men's 100m,,,,
Paula Findlay,Canada,23,170,55,F,5/26/1989,Triathlon,Women's Triathlon,,,,
Paula Klamburg Roque,Spain,22,171,,F,9/20/1989,Synchronised Swimming,Women's Teams,,,,
Paula Medina,Colombia,23,163,73,F,04/12/1989,Table Tennis,Women's Singles,,,,
Paula Pareto,Argentina,26,150,48,F,1/16/1986,Judo,Women's -48kg,,,,
Paula Pequeno,Brazil,30,184,74,F,1/22/1982,Volleyball,Women's Volleyball,,,,
Paula Wronska,Poland,20,164,62,F,12/01/1991,Shooting,Women's 10m Air Rifle,,,,
Paule Baudouin,France,27,172,58,F,10/25/1984,Handball,Women's Handball,,,,
Paulina Buziak,Poland,25,170,50,F,12/16/1986,Athletics,Women's 20km Race Walk,,,,
Pauline Ferrand Prevot,France,20,165,53,F,02/10/1992,Cycling - Mountain Bike; Cycling - Road; Cycling - Track,Women's Cross-country; Women's Road Race,,,,
Pauline Frasca,Australia,32,180,75,F,07/01/1980,Rowing,Women's Quadruple Sculls,,,,
Pauline Kwalea,Solomon Islands,24,,,F,2/29/1988,Athletics,Women's 100m,,,,
Paulius Jankunas,Lithuania,28,205,107,M,4/29/1984,Basketball,Men's Basketball,,,,
Paulo Henrique Chagas De Lima,Brazil,22,184,78,M,10/12/1989,Football,Men's Football,,,,
Paulo Obradovic,Croatia,26,190,100,M,03/09/1986,Water Polo,Men's Water Polo,,,,
Paulo Roberto Paula,Brazil,33,,,M,07/08/1979,Athletics,Men's Marathon,,,,
Paulo Villar,Colombia,34,183,73,M,7/28/1978,Athletics,Men's 110m Hurdles,,,,
Pavel Bykov,Russian Federation,30,180,80,M,24/04/1982 (RUS),Fencing,Men's Team Sabre,,,,
Pavel Davidek,Czech Republic,25,187,86,M,7/19/1987,Canoe Sprint,Men's Kayak Four (K4) 1000m,,,,
Pavel Ilyashenko,Kazakhstan,22,181,75,M,6/23/1990,Modern Pentathlon,Men's Modern Pentathlon,,,,
Pavel Kelemen,Czech Republic,21,187,78,M,5/28/1991,Cycling - Track,Men's Sprint,,,,
Pavel Kryvitski,Belarus,28,184,115,M,4/17/1984,Athletics,Men's Hammer Throw,,,,
Pavel Lyzhyn,Belarus,31,189,121,M,3/24/1981,Athletics,Men's Shot Put,,,,
Pavel Maslak,Czech Republic,21,176,67,M,2/21/1991,Athletics,Men's 200m; Men's 400m,,,,
Pavel Nikolaev,Russian Federation,27,191,91,M,11/14/1984,Canoe Sprint,Men's Kayak Single (K1) 1000m; Men's Kayak Four (K4) 1000m,,,,
Pavel Sankovich,Belarus,22,182,75,M,6/29/1990,Swimming,Men's 100m Butterfly; Men's 100m Backstroke,,,,
Pavel Sukhov,Russian Federation,24,180,78,M,05/07/1988,Fencing,Men's Individual Epee,,,,
Pavel Trenikhin,Russian Federation,26,180,70,M,3/24/1986,Athletics,Men's 400m; Men's 4 x 400m Relay,,,,
Pavle Kostov,Croatia,24,181,77,M,9/28/1987,Sailing,Men's 49er,,,,
Pavlo Ishchenko,Ukraine,20,170,,M,4/30/1992,Boxing,Men's Bantam (56kg),,,,
Pavlo Tymoshchenko,Ukraine,25,190,75,M,10/13/1986,Modern Pentathlon,Men's Modern Pentathlon,,,,
Pavlos Kontides,Cyprus,22,183,82,M,02/11/1990,Sailing,Men's Laser,YES,,1,
Pavol Hochschorner,Slovakia,32,176,75,M,09/07/1979,Canoe Slalom,Men's Canoe Double (C2),YES,,,0.5
Pavol Kopp,Slovakia,33,183,74,M,12/27/1978,Shooting,Men's 50m Pistol; Men's 10m Air Pistol,,,,
Pawel Fajdek,Poland,23,186,120,M,06/04/1989,Athletics,Men's Hammer Throw,,,,
Pawel Kolodzinski,Poland,24,190,82,M,01/07/1988,Sailing,Men's 49er,,,,
Pawel Korzeniowski,Poland,27,192,85,M,07/09/1985,Swimming,Men's 200m Butterfly; Men's 4x100m Medley Relay,,,,
Pawel Rakoczy,Poland,25,187,93,M,5/15/1987,Athletics,Men's Javelin Throw,,,,
Pawel Spisak,Poland,30,176,68,M,9/29/1981,Equestrian,Individual Eventing; WAG,,,,
Pawel Wojciechowski,Poland,23,190,85,M,06/06/1989,Athletics,Men's Pole Vault,,,,
Pawel Zagrodnik,Poland,24,175,66,M,09/10/1987,Judo,Men's -66kg,,,,
Pawel Zagumny,Poland,34,200,88,M,10/18/1977,Volleyball,Men's Volleyball,,,,
Pedro Cunha,Brazil,29,189,94,M,06/10/1983,Beach Volleyball,Men's Beach Volleyball,,,,
Pedro Fraga,Portugal,29,175,70,M,1/27/1983,Rowing,Men's Lightweight Double Sculls,,,,
Pedro Ibarra,Argentina,26,174,82,M,09/11/1985,Hockey,Men's Hockey,,,,
Pedro Isaac Mulens Herrera,Cuba,26,,,M,12/22/1985,Wrestling,Men's 66kg Greco-Roman,,,,
Pedro Isidro,Portugal,27,175,58,M,7/17/1985,Athletics,Men's 50km Race Walk,,,,
Pedro Martins,Portugal,22,175,68,M,2/14/1990,Badminton,Men's Singles,,,,
Pedro Medel,Cuba,20,,,M,09/10/1991,Swimming,Men's 100m Backstroke; Men's 200m Backstroke,,,,
Pedro Mora,Venezuela,34,,,M,9/20/1977,Athletics,Men's Marathon,,,,
Pedro Nimo,Spain,32,182,60,M,06/05/1980,Athletics,Men's Marathon,,,,
Pedro Oliveira,Portugal,24,188,78,M,01/01/1988,Swimming,Men's 200m Butterfly; Men's 200m Backstroke,,,,
Peijing Li,People's Republic of China,23,157,50,F,5/22/1989,Shooting,Women's 50m Rifle 3 Positions,,,,
Peimeng Zhang,People's Republic of China,25,186,86,M,3/13/1987,Athletics,Men's 4 x 100m Relay,,,,
Pen-Ek Karaket,Thailand,22,170,,M,3/18/1990,Taekwondo,Men's -58kg,,,,
Penelope Leprevost,France,32,175,55,F,08/01/1980,Equestrian,Individual Jumping; Team Jumping; MYLORD CARTHAGO,,,,
Penelope Marshall,New Zealand,23,183,67,F,7/27/1989,Swimming,Women's 4x100m Freestyle Relay,,,,
Peng Kean Yu,Malaysia,21,176,65,M,05/08/1991,Fencing,Men's Individual Sabre,,,,
Peng Soon Chan,Malaysia,24,175,68,M,4/27/1988,Badminton,Mixed Doubles,,,,
Peng Tang,Hong Kong (China),31,177,74,M,02/04/1981,Table Tennis,Men's Singles; Men's Team,,,,
Peng Wu,People's Republic of China,25,185,76,M,5/16/1987,Swimming,Men's 200m Butterfly; Men's 200m Individual Medley,,,,
Penggen Wu,People's Republic of China,30,200,95,M,05/07/1982,Beach Volleyball,Men's Beach Volleyball,,,,
Periklis Iakovakis,Greece,33,183,77,M,3/24/1979,Athletics,Men's 400m Hurdles,,,,
Periklis Ilias,Greece,26,183,69,M,6/26/1986,Cycling - Mountain Bike,Men's Cross-country,,,,
Pernille Blume,Denmark,18,171,58,F,5/14/1994,Swimming,Women's 50m Freestyle; Women's 100m Freestyle; Women's 200m Freestyle; Women's 4x100m Freestyle Relay; Women's 4x100m Medley Relay,,,,
Pernille Larsen,Denmark,27,184,77,F,09/06/1984,Handball,Women's Handball,,,,
Perri Shakes-Drayton,Great Britain,23,172,66,F,12/21/1988,Athletics,Women's 400m Hurdles,,,,
Petar Cupac,Croatia,32,182,76,M,02/01/1980,Sailing,Men's 49er,,,,
Petar Gorsa,Croatia,24,180,72,M,01/11/1988,Shooting,Men's 10m Air Rifle,,,,
Petar Muslim,Croatia,24,200,102,M,3/26/1988,Water Polo,Men's Water Polo,,,,
Petar Stoychev,Bulgaria,35,189,90,M,10/24/1976,Swimming,Men's 10km Marathon,,,,
Pete Reed,Great Britain,31,197,100,M,7/27/1981,Rowing,Men's Four,YES,0.25,,
Peter Bacsi,Hungary,29,175,74,M,5/15/1983,Wrestling,Men's 74kg Greco-Roman,,,,
Peter Bakare,Great Britain,23,196,93,M,07/02/1989,Volleyball,Men's Volleyball,,,,
Peter Barry,Canada,56,180,78,M,6/17/1956,Equestrian,Individual Eventing; Team Eventing; KILRODAN ABBOTT,,,,
Peter Bernek,Hungary,20,190,81,M,4/13/1992,Swimming,Men's 200m Backstroke; Men's 4x100m Freestyle Relay; Men's 4x200m Freestyle Relay,,,,
Peter Biros,Hungary,36,196,102,M,04/05/1976,Water Polo,Men's Water Polo,,,,
Peter Burling,New Zealand,21,186,82,M,01/01/1991,Sailing,Men's 49er,YES,,0.5,
Peter Chambers,Great Britain,22,187,73,M,3/14/1990,Rowing,Men's Lightweight Four,YES,,0.25,
Peter Charles,Great Britain,52,175,78,M,1/18/1960,Equestrian,Individual Jumping; Team Jumping; VINDICAT,YES,0.25,,
Peter Crawford,Australia,32,193,88,M,11/06/1979,Basketball,Men's Basketball,,,,
Peter Emelieze,Nigeria,24,170,65,M,4/19/1988,Athletics,Men's 100m,,,,
Peter Gade,Denmark,35,183,73,M,12/14/1976,Badminton,Men's Singles,,,,
Peter Gelle,Slovakia,27,182,82,M,8/23/1984,Canoe Sprint,Men's Kayak Double (K2) 1000m; Men's Kayak Four (K4) 1000m,,,,
Peter Graves,United States of America,27,185,82,M,10/25/1984,Rowing,Men's Quadruple Sculls,,,,
Peter Gulyas,Hungary,28,200,102,M,03/04/1984,Handball,Men's Handball,,,,
Peter Hellenbrand,Netherlands,26,179,105,M,12/07/1985,Shooting,Men's 10m Air Rifle; Men's 50m Rifle Prone; Men's 50m Rifle 3 Positions,,,,
Peter Hochschorner,Slovakia,32,188,87,M,09/07/1979,Canoe Slalom,Men's Canoe Double (C2),YES,,,0.5
Peter Hudnut,United States of America,32,196,102,M,2/16/1980,Water Polo,Men's Water Polo,,,,
Peter Jensen,Denmark,32,177,,M,03/05/1980,Trampoline,Men's Trampoline,,,,
Peter Joppich,Germany,29,176,68,M,12/21/1982,Fencing,Men's Individual Foil; Men's Team Foil,YES,,,0.33
Peter Kauzer,Slovenia,28,177,70,M,09/08/1983,Canoe Slalom,Men's Kayak (K1),,,,
Peter Kennaugh,Great Britain,23,174,64,M,6/15/1989,Cycling - Road; Cycling - Track,Men's Team Pursuit,YES,0.25,,
Peter Kirkbride,Great Britain,24,189,94,M,12/19/1987,Weightlifting,Men's 94kg,,,,
Peter Kretschmer,Germany,20,175,70,M,2/15/1992,Canoe Sprint,Men's Canoe Double (C2) 1000m,YES,0.5,,
Peter Lang,Denmark,23,185,80,M,06/12/1989,Sailing,Men's 49er,YES,,,0.5
Peter Lopez Santos,Peru,30,178,,M,9/23/1981,Taekwondo,Men's -68kg,,,,
Peter Mankoc,Slovenia,34,192,88,M,07/04/1978,Swimming,Men's 100m Butterfly,,,,
Peter Modos,Hungary,24,170,55,M,12/17/1987,Wrestling,Men's 55kg Greco-Roman,YES,,,1
Peter Nagy,Hungary,26,192,152,M,1/16/1986,Weightlifting,Men's +105kg,,,,
Peter O'leary,Ireland,29,188,88,M,3/29/1983,Sailing,Men's Star,,,,
Peter Robert Russell Wilson,Great Britain,25,198,90,M,9/15/1986,Shooting,Men's Double Trap,YES,1,,
Peter Sagan,Slovakia,22,183,74,M,1/26/1990,Cycling - Road,Men's Road Race,,,,
Peter Sidi,Hungary,33,180,82,M,09/11/1978,Shooting,Men's 10m Air Rifle; Men's 50m Rifle Prone; Men's 50m Rifle 3 Positions,,,,
Peter Taylor,New Zealand,28,189,72,M,03/01/1984,Rowing,Men's Lightweight Double Sculls,YES,,,0.5
Peter Thomsen,Germany,51,183,73,M,04/04/1961,Equestrian,Individual Eventing; Team Eventing; BARNY,YES,1.2,,
Peter Vanderkaay,United States of America,28,193,95,M,02/12/1984,Swimming,Men's 400m Freestyle,YES,,,1
Peter Varellas,United States of America,27,191,88,M,10/02/1984,Water Polo,Men's Water Polo,,,,
Peter Waterfield,Great Britain,31,165,64,M,03/12/1981,Diving,Men's 10m Platform; Men's Synchronised 10m Platform,,,,
Peter Wiersum,Netherlands,27,173,55,M,11/01/1984,Rowing,Men's Eight,,,,
Petr Benes,Czech Republic,37,198,95,M,11/27/1974,Beach Volleyball,Men's Beach Volleyball,,,,
Petr Frydrych,Czech Republic,24,200,100,M,1/13/1988,Athletics,Men's Javelin Throw,,,,
Petr Koukal,Czech Republic,26,192,90,M,12/14/1985,Badminton,Men's Singles,,,,
Petra Cetkovska,Czech Republic,27,172,64,F,02/08/1985,Tennis,Women's Singles; Women's Doubles,,,,
Petra Chocova,Czech Republic,25,169,61,F,8/16/1986,Swimming,Women's 100m Breaststroke,,,,
Petra Kulichova,Czech Republic,27,198,82,F,9/13/1984,Basketball,Women's Basketball,,,,
Petra Kvitova,Czech Republic,22,182,70,F,03/08/1990,Tennis,Women's Singles,,,,
Petra Zublasing,Italy,23,165,55,F,6/30/1989,Shooting,Women's 10m Air Rifle; Women's 50m Rifle 3 Positions,,,,
Petrus Gavrila,Romania,24,185,87,M,07/08/1988,Canoe Sprint,Men's Kayak Four (K4) 1000m,,,,
Petter Morland Pedersen,Norway,28,,,M,06/07/1984,Sailing,Men's Star,,,,
Petya Lukanova,Bulgaria,43,164,62,F,7/20/1969,Shooting,Women's 10m Air Rifle; Women's 50m Rifle 3 Positions,,,,
Petya Nedelcheva,Bulgaria,29,170,76,F,7/30/1983,Badminton,Women's Singles,,,,
Phara Anacharsis,France,28,177,66,F,12/17/1983,Athletics,Women's 4 x 400m Relay,,,,
Phathana Inthavong,Lao People's Democratic Republic,15,162,56,M,7/15/1997,Swimming,Men's 50m Freestyle,,,,
Phelan Hill,Great Britain,33,171,55,M,7/21/1979,Rowing,Men's Eight,YES,,,0.111
Phil Dalhausser,United States of America,32,206,91,M,1/26/1980,Beach Volleyball,Men's Beach Volleyball,,,,
Philip Buys,South Africa,23,187,74,M,9/30/1988,Cycling - Mountain Bike,Men's Cross-country,,,,
Philip Heintz,Germany,21,192,86,M,2/21/1991,Swimming,Men's 200m Individual Medley,,,,
Philip Hindes,Great Britain,19,177,83,M,9/22/1992,Cycling - Track,Men's Team Sprint,YES,0.33,,
Philipine van Aanholt,Independent Olympic Athletes,20,170,69,F,5/26/1992,Sailing,Women's Laser Radial,,,,
Philipp Boy,Germany,25,172,,M,7/23/1987,Gymnastics - Artistic,Men's Team; Men's Qualification,,,,
Philipp Petzschner,Germany,28,184,80,M,3/24/1984,Tennis,Men's Singles; Men's Doubles; Mixed Doubles,,,,
Philipp Zeller,Germany,29,184,81,M,3/23/1983,Hockey,Men's Hockey,,,,
Philippe Beaudry,Canada,25,183,76,M,3/16/1987,Fencing,Men's Individual Sabre,,,,
Philippe Gilbert,Belgium,30,183,70,M,07/05/1982,Cycling - Road,Men's Individual Time Trial; Men's Road Race,,,,
Philippe le Jeune,Belgium,52,172,76,M,6/15/1960,Equestrian,Individual Jumping; Team Jumping; VIGO D'ARSOUILLES,,,,
Phillip Burrows,New Zealand,32,182,78,M,4/25/1980,Hockey,Men's Hockey,,,,
Phillip Dutton,United States of America,48,168,68,M,9/13/1963,Equestrian,Individual Eventing; Team Eventing; MYSTERY WHISPER,,,,
Phillipp Wende,Germany,27,199,89,M,07/04/1985,Rowing,Men's Quadruple Sculls,YES,0.25,,
Phillips Idowu,Great Britain,33,197,87,M,12/30/1978,Athletics,Men's Triple Jump,,,,
Phobay Kutu-Akoi,Liberia,24,162,57,F,12/03/1987,Athletics,Women's 100m,,,,
Phoebe Stanley,Australia,26,168,70,F,10/17/1985,Rowing,Women's Eight,,,,
Phumlile Ndzinisa,Swaziland,19,165,52,F,8/21/1992,Athletics,Women's 400m,,,,
Phuoc Hung Pham,Vietnam,24,165,,M,06/10/1988,Gymnastics - Artistic,Men's Qualification,,,,
Phylicia George,Canada,24,178,65,F,11/16/1987,Athletics,Women's 100m Hurdles,,,,
Pia Lionetti,Italy,25,161,58,F,2/26/1987,Archery,Women's Individual; Women's Team,,,,
Pia Sundstedt,Finland,37,168,52,F,05/02/1975,Cycling - Road,Women's Individual Time Trial; Women's Road Race,,,,
Pierpaolo Frattini,Italy,28,191,95,M,2/23/1984,Rowing,Men's Quadruple Sculls,,,,
Pierre Aubameyang,Gabon,23,187,77,M,6/18/1989,Football,Men's Football,,,,
Pierre Edmond Piasecki,France,27,178,87,M,06/03/1985,Shooting,Men's 10m Air Rifle,,,,
Pierre Leboucher,France,31,168,63,M,11/09/1980,Sailing,Men's 470,,,,
Pierre Yves Beny,France,29,166,,M,02/12/1983,Gymnastics - Artistic,Men's Team; Men's Qualification,,,,
Pierre-Alexis Pessonneaux,France,24,181,70,M,11/25/1987,Athletics,Men's 4 x 100m Relay,,,,
Pierre-Alexis Ponsot,France,37,195,98,M,05/08/1975,Sailing,Men's Star,,,,
Pierre-Ambroise Bosse,France,20,183,73,M,05/11/1992,Athletics,Men's 800m,,,,
Pierre-Jean Peltier,France,28,191,93,M,5/20/1984,Rowing,Men's Quadruple Sculls,,,,
Pierre-Luc Hinse,Canada,24,175,73,M,09/07/1987,Table Tennis,Men's Singles; Men's Team,,,,
Pieter-Jan Postma,Netherlands,30,189,102,M,01/10/1982,Sailing,Men's Finn,,,,
Pietie Coetzee,South Africa,33,176,69,F,09/02/1978,Hockey,Women's Hockey,,,,
Pietro Camporesi,Italy,24,182,72,M,10/25/1987,Canoe Slalom,Men's Canoe Double (C2),,,,
Pietro Figlioli,Italy,28,192,98,M,5/29/1984,Water Polo,Men's Water Polo,,,,
Pietro Ruta,Italy,24,184,74,M,08/06/1987,Rowing,Men's Lightweight Double Sculls,,,,
Pietro Zucchetti,Italy,31,188,76,M,1/25/1981,Sailing,Men's 470,,,,
Pilar Pena Carrasco,Spain,26,172,61,F,04/04/1986,Water Polo,Women's Water Polo,YES,,0.076,
Pilar Shimizu,Guam,16,165,61,F,5/27/1996,Swimming,Women's 100m Breaststroke,,,,
Pimsiri Sirikaew,Thailand,22,149,58,F,4/25/1990,Weightlifting,Women's 58kg,YES,,1,
Pinar Saka,Turkey,26,163,54,F,11/05/1985,Athletics,Women's 400m; Women's 4 x 400m Relay,,,,
Ping Liu,People's Republic of China,25,174,67,F,05/01/1987,Water Polo,Women's Water Polo,,,,
Piotr Brzozka,Poland,22,174,64,M,10/14/1989,Cycling - Mountain Bike,Men's Cross-country,,,,
Piotr Hojka,Poland,28,202,103,M,06/12/1984,Rowing,Men's Eight,,,,
Piotr Juszczak,Poland,24,197,90,M,07/03/1988,Rowing,Men's Eight,,,,
Piotr Kula,Poland,25,190,100,M,5/23/1987,Sailing,Men's Finn,,,,
Piotr Kuleta,Poland,23,178,81,M,6/27/1989,Canoe Sprint,Men's Canoe Single (C1) 1000m; Men's Canoe Single (C1) 200m,,,,
Piotr Malachowski,Poland,29,193,130,M,06/07/1983,Athletics,Men's Discus Throw,,,,
Piotr Nowakowski,Poland,24,206,105,M,12/18/1987,Volleyball,Men's Volleyball,,,,
Piotr Siemionowski,Poland,24,193,92,M,06/06/1988,Canoe Sprint,Men's Kayak Single (K1) 200m,,,,
Piotr Wiaderek,Poland,28,185,78,M,02/05/1984,Athletics,Men's 4 x 400m Relay,,,,
Pirmin Blaak,Netherlands,24,188,83,M,03/08/1988,Hockey,Men's Hockey,,,,
Pitaya Tibnoke,Thailand,22,176,84,M,9/21/1989,Weightlifting,Men's 85kg,,,,
Pius Schwizer,Switzerland,49,175,65,M,8/13/1962,Equestrian,Individual Jumping; Team Jumping; CARLINA IV,,,,
Po Heung Lin,Hong Kong (China),27,163,62,F,05/02/1985,Fencing,Women's Individual Foil,,,,
Pol Amat,Spain,34,183,78,M,6/18/1978,Hockey,Men's Hockey,,,,
Polat Kemboi Arikan,Turkey,21,175,62,M,12/12/1990,Athletics,Men's 5000m; Men's 10;000m,,,,
Polen Uslupehlivan,Turkey,21,192,71,F,8/27/1990,Volleyball,Women's Volleyball,,,,
Poliana Cintra,Brazil,29,,,F,03/08/1983,Swimming,Women's 10km Marathon,,,,
Polina Jelizarova,Latvia,23,155,46,F,05/01/1989,Athletics,Women's 3000m Steeplechase,,,,
Polina Zakaluzny,Israel,20,178,,F,2/21/1992,Gymnastics - Rhythmic,Group All-Around,,,,
Polona Batagelj,Slovenia,23,173,53,F,06/07/1989,Cycling - Road,Women's Road Race,,,,
Polona Hercog,Slovenia,21,183,71,F,1/20/1991,Tennis,Women's Singles,,,,
Ponloeu Hemthon,Cambodia,22,172,62,M,1/26/1990,Swimming,Men's 50m Freestyle,,,,
Pops Mensah-Bonsu,Great Britain,28,206,111,M,09/07/1983,Basketball,Men's Basketball,,,,
Portia Modise,South Africa,29,163,56,F,6/20/1983,Football,Women's Football,,,,
Povilas Mykolaitis,Lithuania,29,187,81,M,2/23/1983,Athletics,Men's Long Jump,,,,
Pramila Rijal,Nepal,27,155,54,F,05/01/1985,Athletics,Women's 100m,,,,
Prasiddha Jung Shah,Nepal,23,170,68,M,06/03/1989,Swimming,Men's 50m Freestyle,,,,
Predrag Filipovic,Serbia,33,182,73,M,10/05/1978,Athletics,Men's 20km Race Walk,,,,
Predrag Jokic,Montenegro,29,188,96,M,02/03/1983,Water Polo,Men's Water Polo,,,,
Premysl Kubala,Czech Republic,38,202,97,M,12/16/1973,Beach Volleyball,Men's Beach Volleyball,,,,
Premysl Svarc,Czech Republic,27,177,66,M,3/27/1985,Triathlon,Men's Triathlon,,,,
Primoz Kobe,Slovenia,31,176,64,M,5/23/1981,Athletics,Men's Marathon,,,,
Primoz Kozmus,Slovenia,32,188,112,M,9/30/1979,Athletics,Men's Hammer Throw,YES,,1,
Prince Mumba,Zambia,27,180,67,M,9/28/1984,Athletics,Men's 800m,,,,
Princesa Oliveros,Colombia,36,168,56,F,08/10/1975,Athletics,Women's 400m Hurdles,,,,
Priscah Jeptoo,Kenya,28,165,49,F,6/26/1984,Athletics,Women's Marathon,YES,,1,
Priscilla Gneto,France,21,163,52,F,08/03/1991,Judo,Women's -52kg,YES,,,1
Prisilla Altagracia Rivera Brens,Dominican Republic,27,186,70,F,12/29/1984,Volleyball,Women's Volleyball,,,,
Przemyslaw Czajkowski,Poland,23,198,136,M,10/26/1988,Athletics,Men's Discus Throw,,,,
Przemyslaw Miarczynski,Poland,32,185,79,M,8/26/1979,Sailing,Men's RS-X,YES,,,1
Przemyslaw Wacha,Poland,31,181,80,M,1/31/1981,Badminton,Men's Singles,,,,
Pui Yi Ip,Hong Kong (China),33,152,56,F,11/26/1978,Shooting,Women's 10m Air Pistol,,,,
Pui Yin Yip,Hong Kong (China),24,164,59,F,08/06/1987,Badminton,Women's Singles,,,,
Putu Wiradamungga,Indonesia,20,,80,M,12/02/1991,Judo,Men's -81kg,,,,
Qian Chen,People's Republic of China,25,163,54,F,1/14/1987,Modern Pentathlon,Women's Modern Pentathlon,,,,
Qian Chen,People's Republic of China,19,175,58,F,4/16/1993,Swimming,Women's 4x200m Freestyle Relay,,,,
Qian Li,Poland,26,160,53,F,7/30/1986,Table Tennis,Women's Singles; Women's Team,,,,
Qiang Huang,Malaysia,30,170,65,M,04/11/1982,Diving,Men's 3m Springboard; Men's Synchronised 3m Springboard,,,,
Qiang Li,People's Republic of China,23,186,84,M,01/04/1989,Canoe Sprint,Men's Canoe Single (C1) 200m; Men's Canoe Double (C2) 1000m,,,,
Qiang Liu,People's Republic of China,29,178,,M,12/14/1982,Boxing,Men's Light (60kg),,,,
Qiang Qin,People's Republic of China,29,184,105,M,4/18/1983,Athletics,Men's Javelin Throw,,,,
Qiangbing Li,Austria,27,166,51,F,4/30/1985,Table Tennis,Women's Singles; Women's Team,,,,
Qing Tian,People's Republic of China,25,168,63,F,8/19/1986,Badminton,Women's Doubles,YES,0.5,,
Qingfeng Lin,People's Republic of China,23,167,68,M,1/26/1989,Weightlifting,Men's 69kg,YES,1,,
Qinglan Shi,People's Republic of China,26,163,60,F,01/06/1986,Cycling - Mountain Bike,Women's Cross-country,,,,
Qingling Song,People's Republic of China,26,174,70,F,7/22/1986,Hockey,Women's Hockey,,,,
Qiong Mai Maitituersun,People's Republic of China,24,178,,M,1/13/1988,Boxing,Men's Welter (69kg),,,,
Qiushuang Huang,People's Republic of China,20,154,,F,5/28/1992,Gymnastics - Artistic,Women's Individual All-Around; Women's Team; Women's Qualification,,,,
Qiuxia Cui,People's Republic of China,21,166,63,F,09/11/1990,Hockey,Women's Hockey,,,,
Qiuyue Wei,People's Republic of China,23,182,65,F,9/26/1988,Volleyball,Women's Volleyball,,,,
Quadri Aruna,Nigeria,23,,73,M,08/09/1988,Table Tennis,Men's Singles,,,,
Quanitta Underwood,United States of America,28,168,,F,05/08/1984,Boxing,Women's Light (60kg),,,,
Quazi Syque Caesar,Bangladesh,21,158,,M,8/22/1990,Gymnastics - Artistic,Men's Qualification,,,,
Quentin Bigot,France,19,177,90,M,12/01/1992,Athletics,Men's Hammer Throw,,,,
Quentin Caleyron,France,24,186,92,M,1/30/1988,Cycling - BMX,Men's BMX,,,,
Raasin McIntosh,Liberia,30,170,59,F,4/29/1982,Athletics,Women's 400m Hurdles,,,,
Rabab Eid Sayed Awad,Egypt,21,160,55,F,08/10/1990,Wrestling,Women's 55kg Freestyle,,,,
Rabah Aboud,Algeria,31,180,64,M,01/01/1981,Athletics,Men's 5000m,,,,
Rabah Yousif,Sudan,25,184,71,M,12/11/1986,Athletics,Men's 400m,,,,
Rabia Ashiq,Pakistan,20,,,F,4/15/1992,Athletics,Women's 800m,,,,
Rabiou Guero Gao,Niger,24,170,58,M,02/01/1988,Athletics,Men's 1500m,,,,
